iter	MultiClass
0	1.055644608
1	1.022047767
2	0.9871697109
3	0.9558009712
4	0.931905931
5	0.9086928015
6	0.8880448796
7	0.8662047071
8	0.847375855
9	0.8287096032
10	0.8133539661
11	0.7973252429
12	0.7854195637
13	0.7719439034
14	0.7607493651
15	0.7499060172
16	0.7389190276
17	0.7263661746
18	0.7178687761
19	0.7079445751
20	0.7004561889
21	0.6933552241
22	0.6822726596
23	0.6728356385
24	0.6646359333
25	0.6574322774
26	0.6500329786
27	0.6416212343
28	0.6336474075
29	0.6249236918
30	0.619030714
31	0.6105870533
32	0.6028372412
33	0.5962893657
34	0.5893545934
35	0.5838108067
36	0.5774660613
37	0.5725051845
38	0.5652604132
39	0.5594163482
40	0.5550914386
41	0.5506120881
42	0.5451034929
43	0.5408628714
44	0.5364232043
45	0.531323753
46	0.5285546594
47	0.5231441018
48	0.5187638872
49	0.5117099609
50	0.507051122
51	0.5036212562
52	0.5001473442
53	0.496869673
54	0.4919235073
55	0.487118109
56	0.4834070272
57	0.47925859
58	0.4755043004
59	0.4724162534
60	0.4684962869
61	0.4649363322
62	0.4620580279
63	0.4589105922
64	0.4548480904
65	0.4516258792
66	0.4499991865
67	0.4473657755
68	0.4451012022
69	0.4429103852
70	0.4400473862
71	0.4374621267
72	0.4344702623
73	0.4326683601
74	0.4300767363
75	0.4278009119
76	0.4255582516
77	0.4231494276
78	0.4211887577
79	0.4181368654
80	0.4154126808
81	0.4128986669
82	0.4106756293
83	0.4081134487
84	0.4055133597
85	0.4029583287
86	0.4006247463
87	0.398975775
88	0.3971177449
89	0.3947927199
90	0.3923285505
91	0.3887480147
92	0.384815384
93	0.3824499984
94	0.3806203094
95	0.3784149304
96	0.3766363212
97	0.3740437389
98	0.3711617664
99	0.3696148762
100	0.3675761691
101	0.3658228961
102	0.3637358181
103	0.3620171818
104	0.359838698
105	0.358226208
106	0.357234583
107	0.3548914601
108	0.3518431828
109	0.3496698298
110	0.3485580707
111	0.3461108817
112	0.3443376398
113	0.3428369561
114	0.3405670284
115	0.3392405147
116	0.3352524577
117	0.3331016352
118	0.3309178955
119	0.3292329024
120	0.326944725
121	0.3252186235
122	0.3233535326
123	0.3213422423
124	0.3195600323
125	0.3183525638
126	0.3167556222
127	0.3151078811
128	0.3127262633
129	0.3112950252
130	0.3103853036
131	0.3086127408
132	0.3067932966
133	0.305283421
134	0.3034613434
135	0.3025779811
136	0.3002076803
137	0.299187118
138	0.2972389651
139	0.2963972734
140	0.295076282
141	0.2938876491
142	0.2928448254
143	0.2917772739
144	0.29048241
145	0.2893327448
146	0.2882429703
147	0.287363032
148	0.285838238
149	0.2846702797
150	0.2830178342
151	0.2819367857
152	0.2812677794
153	0.2794850956
154	0.2778034471
155	0.2771150298
156	0.276419607
157	0.2748523078
158	0.2739496783
159	0.2728545378
160	0.2716828363
161	0.2700614448
162	0.269015269
163	0.266843936
164	0.2657533279
165	0.2642523617
166	0.2629172739
167	0.2618257055
168	0.2611333399
169	0.2604632932
170	0.2593914867
171	0.257925583
172	0.2566481916
173	0.2556241622
174	0.2543775841
175	0.2535889973
176	0.2526506444
177	0.25111195
178	0.2503460362
179	0.249404857
180	0.2487152822
181	0.2479679567
182	0.2473986196
183	0.2469986307
184	0.2462873382
185	0.2458451409
186	0.2450669556
187	0.2439388637
188	0.2435207907
189	0.242508622
190	0.2418344422
191	0.2406900882
192	0.2401401645
193	0.2390796288
194	0.2380689396
195	0.2372037116
196	0.2358766351
197	0.2349172404
198	0.2343796472
199	0.2336348413
200	0.232665543
201	0.2319413488
202	0.2313060485
203	0.2306884054
204	0.2298201732
205	0.2293190812
206	0.2283236004
207	0.2270971201
208	0.2260048012
