iter	Passed	Remaining
0	14	14231
1	26	13437
2	39	13069
3	53	13223
4	66	13147
5	78	12977
6	92	13099
7	108	13395
8	122	13532
9	135	13405
10	148	13372
11	162	13365
12	177	13473
13	192	13551
14	210	13836
15	228	14031
16	256	14858
17	280	15279
18	296	15330
19	313	15357
20	328	15314
21	342	15212
22	355	15087
23	369	15016
24	382	14904
25	396	14871
26	412	14861
27	425	14765
28	438	14678
29	451	14595
30	465	14545
31	479	14494
32	492	14417
33	504	14347
34	517	14257
35	530	14210
36	543	14151
37	557	14109
38	570	14068
39	583	13995
40	595	13931
41	609	13892
42	622	13857
43	637	13848
44	650	13809
45	664	13782
46	677	13735
47	689	13674
48	702	13632
49	717	13628
50	732	13622
51	746	13614
52	762	13628
53	777	13614
54	791	13599
55	807	13604
56	822	13599
57	835	13562
58	846	13505
59	859	13462
60	873	13440
61	889	13450
62	902	13420
63	916	13408
64	929	13371
65	943	13354
66	957	13340
67	971	13320
68	984	13288
69	999	13273
70	1012	13248
71	1025	13221
72	1039	13203
73	1052	13171
74	1065	13139
75	1077	13099
76	1090	13076
77	1104	13057
78	1117	13028
79	1130	12996
80	1142	12966
81	1155	12937
82	1168	12912
83	1182	12894
84	1197	12889
85	1212	12891
86	1228	12894
87	1241	12865
88	1254	12845
89	1268	12830
90	1282	12812
91	1295	12785
92	1309	12769
93	1322	12745
94	1336	12730
95	1351	12726
96	1365	12712
97	1378	12692
98	1391	12662
99	1405	12646
100	1417	12620
101	1430	12595
102	1444	12579
103	1457	12556
104	1469	12526
105	1486	12540
106	1501	12531
107	1514	12510
108	1527	12490
109	1541	12472
110	1554	12446
111	1567	12426
112	1580	12409
113	1594	12390
114	1610	12391
115	1628	12407
116	1644	12408
117	1660	12412
118	1677	12421
119	1693	12421
120	1708	12414
121	1723	12401
122	1735	12370
123	1749	12357
124	1764	12353
125	1779	12346
126	1794	12334
127	1807	12316
128	1821	12300
129	1834	12275
130	1846	12245
131	1859	12228
132	1873	12210
133	1888	12205
134	1902	12189
135	1915	12169
136	1930	12157
137	1943	12137
138	1957	12122
139	1970	12106
140	1984	12087
141	1996	12065
142	2008	12037
143	2025	12039
144	2038	12019
145	2050	11996
146	2062	11969
147	2076	11953
148	2089	11936
149	2102	11915
150	2115	11893
151	2128	11875
152	2141	11856
153	2154	11834
154	2167	11814
155	2178	11787
156	2192	11772
157	2208	11766
158	2220	11745
159	2232	11721
160	2245	11703
161	2257	11679
162	2271	11662
163	2285	11649
164	2298	11631
165	2310	11609
166	2323	11588
167	2335	11567
168	2349	11551
169	2362	11532
170	2375	11515
171	2389	11501
172	2402	11484
173	2416	11472
174	2429	11452
175	2441	11429
176	2454	11412
177	2469	11403
178	2482	11385
179	2495	11366
180	2509	11356
181	2521	11334
182	2535	11317
183	2547	11297
184	2562	11286
185	2574	11268
186	2587	11247
187	2600	11230
188	2613	11214
189	2626	11199
190	2639	11178
191	2652	11161
192	2664	11141
193	2677	11124
194	2689	11101
195	2702	11087
196	2716	11074
197	2730	11059
198	2743	11042
199	2756	11027
200	2770	11011
201	2783	10996
202	2795	10975
203	2808	10959
204	2820	10938
205	2839	10945
206	2852	10928
207	2866	10916
208	2880	10901
209	2894	10887
210	2907	10872
211	2920	10856
212	2933	10838
213	2947	10824
214	2960	10810
215	2974	10797
216	2988	10782
217	3001	10766
218	3014	10749
219	3027	10732
220	3040	10717
221	3052	10697
222	3064	10678
223	3078	10663
224	3092	10650
225	3106	10638
226	3120	10627
227	3132	10608
228	3146	10594
229	3159	10578
230	3172	10560
231	3185	10545
232	3199	10533
233	3212	10516
234	3225	10498
235	3239	10487
236	3252	10471
237	3265	10453
238	3278	10437
239	3291	10422
240	3304	10408
241	3317	10391
242	3329	10371
243	3343	10357
244	3355	10339
245	3367	10322
246	3380	10305
247	3393	10289
248	3406	10273
249	3421	10263
250	3436	10253
251	3449	10238
252	3461	10220
253	3475	10206
254	3488	10191
255	3501	10176
256	3517	10169
257	3530	10154
258	3543	10136
259	3556	10121
260	3568	10105
261	3581	10089
262	3593	10069
263	3606	10054
264	3620	10042
265	3635	10032
266	3648	10015
267	3660	9998
268	3673	9982
269	3685	9963
270	3698	9948
271	3710	9930
272	3723	9916
273	3737	9902
274	3749	9886
275	3762	9869
276	3774	9851
277	3787	9835
278	3800	9820
279	3813	9806
280	3828	9797
281	3844	9787
282	3856	9770
283	3870	9757
284	3883	9742
285	3895	9725
286	3908	9709
287	3921	9694
288	3934	9679
289	3948	9667
290	3962	9655
291	3975	9638
292	3987	9621
293	3999	9604
294	4012	9588
295	4026	9575
296	4040	9562
297	4053	9547
298	4066	9533
299	4079	9519
300	4092	9502
301	4104	9486
302	4118	9473
303	4131	9459
304	4145	9446
305	4167	9450
306	4179	9434
307	4192	9419
308	4203	9401
309	4217	9388
310	4231	9373
311	4243	9357
312	4256	9342
313	4269	9327
314	4282	9311
315	4294	9295
316	4307	9280
317	4319	9264
318	4332	9248
319	4345	9233
320	4357	9218
321	4371	9203
322	4383	9186
323	4395	9170
324	4408	9156
325	4421	9140
326	4436	9130
327	4450	9118
328	4467	9112
329	4482	9100
330	4497	9091
331	4513	9081
332	4527	9069
333	4540	9053
334	4554	9040
335	4566	9024
336	4579	9010
337	4593	8996
338	4606	8981
339	4619	8967
340	4631	8951
341	4644	8936
342	4659	8924
343	4671	8909
344	4690	8904
345	4705	8893
346	4720	8883
347	4736	8873
348	4750	8860
349	4764	8847
350	4779	8836
351	4793	8823
352	4808	8812
353	4823	8802
354	4838	8791
355	4852	8778
356	4866	8765
357	4884	8759
358	4897	8743
359	4909	8727
360	4922	8713
361	4935	8698
362	4948	8684
363	4961	8669
364	4975	8655
365	4988	8641
366	5002	8628
367	5016	8615
368	5028	8599
369	5041	8583
370	5056	8572
371	5069	8558
372	5083	8544
373	5097	8531
374	5110	8517
375	5123	8503
376	5136	8488
377	5150	8474
378	5165	8464
379	5179	8450
380	5193	8437
381	5205	8421
382	5218	8406
383	5231	8392
384	5247	8382
385	5260	8367
386	5272	8351
387	5285	8337
388	5298	8322
389	5311	8308
390	5324	8292
391	5336	8276
392	5349	8262
393	5362	8248
394	5376	8234
395	5388	8219
396	5401	8204
397	5413	8188
398	5427	8174
399	5439	8159
400	5452	8144
401	5465	8130
402	5479	8117
403	5492	8102
404	5506	8089
405	5519	8074
406	5533	8062
407	5546	8047
408	5559	8033
409	5573	8019
410	5585	8005
411	5600	7992
412	5614	7979
413	5627	7965
414	5642	7953
415	5656	7941
416	5668	7925
417	5683	7913
418	5698	7901
419	5717	7895
420	5735	7888
421	5751	7877
422	5765	7865
423	5783	7856
424	5800	7847
425	5814	7834
426	5829	7823
427	5844	7810
428	5857	7796
429	5871	7782
430	5885	7769
431	5898	7755
432	5912	7742
433	5926	7729
434	5940	7716
435	5953	7701
436	5965	7685
437	5979	7672
438	5994	7660
439	6007	7645
440	6021	7632
441	6034	7618
442	6050	7606
443	6063	7592
444	6076	7578
445	6090	7565
446	6104	7552
447	6118	7538
448	6130	7523
449	6143	7508
450	6157	7495
451	6170	7481
452	6184	7467
453	6196	7452
454	6209	7437
455	6223	7424
456	6236	7410
457	6250	7396
458	6264	7383
459	6276	7368
460	6292	7357
461	6307	7345
462	6322	7332
463	6336	7319
464	6349	7305
465	6364	7292
466	6377	7278
467	6390	7264
468	6404	7251
469	6418	7237
470	6431	7223
471	6445	7210
472	6459	7197
473	6474	7184
474	6487	7170
475	6501	7156
476	6514	7142
477	6527	7128
478	6539	7113
479	6553	7099
480	6567	7085
481	6580	7072
482	6593	7057
483	6609	7046
484	6622	7031
485	6635	7017
486	6648	7003
487	6662	6989
488	6676	6976
489	6689	6962
490	6702	6948
491	6716	6935
492	6730	6921
493	6744	6908
494	6757	6894
495	6773	6882
496	6786	6868
497	6800	6854
498	6813	6840
499	6826	6826
500	6839	6812
501	6852	6797
502	6867	6785
503	6881	6772
504	6894	6758
505	6908	6744
506	6921	6730
507	6934	6715
508	6946	6701
509	6960	6687
510	6973	6673
511	6985	6658
512	6999	6644
513	7012	6630
514	7026	6616
515	7038	6602
516	7050	6587
517	7063	6572
518	7077	6559
519	7090	6544
520	7103	6530
521	7115	6515
522	7129	6502
523	7141	6487
524	7154	6472
525	7166	6458
526	7180	6444
527	7193	6430
528	7205	6415
529	7218	6401
530	7231	6387
531	7244	6373
532	7257	6358
533	7271	6345
534	7286	6333
535	7299	6319
536	7311	6304
537	7324	6290
538	7336	6274
539	7349	6260
540	7362	6246
541	7375	6232
542	7388	6218
543	7401	6203
544	7413	6189
545	7426	6175
546	7439	6160
547	7451	6146
548	7464	6131
549	7477	6117
550	7492	6105
551	7505	6091
552	7518	6077
553	7531	6063
554	7545	6049
555	7558	6035
556	7571	6021
557	7584	6007
558	7597	5993
559	7610	5979
560	7624	5966
561	7636	5951
562	7649	5937
563	7662	5923
564	7674	5908
565	7688	5895
566	7701	5881
567	7715	5868
568	7729	5855
569	7742	5840
570	7754	5826
571	7767	5812
572	7781	5798
573	7793	5784
574	7806	5770
575	7820	5757
576	7833	5743
577	7847	5729
578	7862	5717
579	7875	5702
580	7887	5688
581	7901	5674
582	7915	5661
583	7929	5648
584	7943	5635
585	7955	5620
586	7970	5607
587	7983	5594
588	7997	5580
589	8010	5566
590	8025	5553
591	8037	5539
592	8051	5525
593	8065	5512
594	8078	5499
595	8092	5485
